,FIPS,Poverty Rate,Income,Unemployment Rate,Prescription Rate,Death Rate
54,8031,11.7,68069,3.2,29.2,12.28
55,8041,9.9,67923,3.9,51.9,14.71
56,8059,7,85550,3,53.2,9.65
57,8069,10.5,71306,2.8,44.8,6.56
58,8077,14.4,51132,4.1,59.5,7.83
59,8101,17.2,48308,4.9,83.4,9.55
60,8123,10.5,75629,3,40.6,8.59
61,9001,10,91183,4,33.8,16.53
62,9003,11.2,73037,4.2,43.3,29.91
63,9005,6.9,76304,3.8,47.0,39.75
64,9007,6.7,88709,3.5,49.6,33.81
65,9009,11.6,67720,4.4,48.6,27.52
66,9011,9.8,67790,4,48.5,32.24
67,9013,8,89584,3.6,37.8,21.87
68,9015,11.7,65182,4.5,54.4,31.62
69,10001,13.8,54980,4.1,58.6,31.92
70,10003,11.6,69562,3.7,57.5,38.8
71,10005,12.3,59821,3.7,69.8,30.09
72,11001,16.1,82533,5.6,25.0,25.2
73,12001,19.8,51026,3.3,57.8,4.82
74,12005,13.4,51777,4,97.5,12.41
75,12009,11,57612,3.5,74.2,32.34
76,12011,12.6,57200,3.4,39.0,11.17
77,12017,15.2,41556,5.2,89.9,22.31
78,12019,8.8,62835,3.3,69.9,20.83
79,12021,10.6,70649,3.4,45.4,12.95
80,12023,17.3,46195,3.7,94.9,18.44
81,12031,14.5,55733,3.6,70.9,26.31
82,12033,14.7,50644,3.5,89.4,17.11
83,12035,10.3,58975,4,66.2,12.49
84,12053,14.1,45884,4.5,91.9,11.53
85,12055,20.8,39994,4.8,65.7,10.43
86,12057,14.7,58361,3.4,52.6,14.82
87,12061,10.7,58228,4.3,81.2,10.8
88,12069,11.5,52447,3.5,65.0,9.26
89,12071,12.1,56343,3.4,55.1,26.37
90,12073,20.7,51046,3.3,57.0,4.44
91,12081,10.4,59587,3.4,62.4,18.23
92,12083,15.1,44517,4.3,73.2,26.11
93,12085,10.7,61592,3.5,64.8,14.91
94,12086,16,52043,3.9,24.1,6.63
95,12087,12,67094,2.6,64.9,21.33
96,12089,10.4,66898,3.2,86.2,17.48
97,12091,12.7,62779,2.9,65.9,20.75
98,12095,15.6,58037,3.2,36.0,15.28
99,12097,13.4,50473,3.6,39.8,18.21
100,12099,12.2,61735,3.6,48.3,22.07
101,12101,12.6,53788,3.8,71.2,12.97
102,12103,11.7,52226,3.3,67.2,14.97
103,12105,15.7,51354,4.1,58.8,9.6
104,12109,6.6,81925,2.9,51.2,8.65
105,12111,12.1,53377,4.4,54.8,8.72
106,12113,9.5,69541,3.3,77.4,8.92
107,12115,10.3,61652,3.4,65.8,15.0
108,12117,9.9,67187,3.2,45.8,16.25
109,12119,9.3,55324,5.1,65.6,9.32
110,12127,13.2,50285,3.7,64.3,21.37
111,13013,9.5,61413,3.3,68.4,13.61
112,13015,12.2,57409,3.8,87.4,13.16
113,13051,14.4,54165,3.7,69.1,11.07
114,13057,7.4,82733,3.1,56.4,13.77
115,13063,17.6,46059,4.9,34.1,4.49
116,13067,9.1,78603,3.4,47.1,10.44
117,13073,7.1,82184,3.5,62.8,9.72
118,13077,10.2,70974,3.4,68.2,9.6
119,13089,14.3,63477,4,35.4,6.87
120,13097,12.6,60512,4.1,75.4,12.39
121,13115,20.7,44906,4.3,121.8,11.23
122,13117,5,105921,3.1,41.3,6.34
123,13121,13.5,70808,4,38.3,9.24
124,13135,9.2,72008,3.5,38.1,7.98
125,13139,13.2,61631,3.2,77.6,6.93
126,13151,7.5,72970,4.1,63.3,12.16
127,13215,20.1,46628,5.1,75.7,5.15
128,13223,7.8,73309,3.4,46.4,7.32
129,13245,21.9,40168,5.1,64.3,18.36
130,13297,11.9,65416,3.6,86.7,16.04
131,15001,15.6,56383,3,53.6,6.47
132,15003,7.7,83695,2.3,26.9,3.06
133,15009,8.6,78503,2.4,44.5,8.37
134,16001,9.7,66827,2.5,53.8,10.21
135,16055,10.3,56188,3.5,76.9,6.19
136,17007,9.2,74507,5.8,40.4,20.53
137,17019,19.2,53251,4.4,51.5,9.05
138,17031,13.8,63347,4,32.5,19.32
139,17037,13.1,63274,4.4,48.7,11.52
140,17043,6.6,93540,3.1,37.9,14.54
141,17063,5.9,79348,4.7,73.6,19.62
142,17089,8.6,79834,4.9,33.6,8.42
143,17091,16.2,53884,5.4,66.6,21.81
144,17093,4.2,93345,3.5,41.9,10.16
145,17097,8,87336,4.5,42.3,9.85
146,17099,13.6,54063,5.8,70.6,31.98
147,17111,5.9,86268,3.5,52.1,15.56
148,17113,14.4,67087,4.2,46.4,15.62
149,17115,17.4,50684,5.6,76.1,13.37
150,17119,13.8,60121,4.5,85.7,33.65
151,17143,16.6,56478,5.5,60.2,22.15
152,17163,14.8,58222,5,59.8,20.3
153,17167,13.1,62242,4.3,73.9,14.33
154,17179,9.6,61508,4.9,72.8,13.6
155,17183,19.3,44638,6.2,71.9,16.93
156,17197,6.4,86108,4,44.8,15.89
157,17201,16.1,53795,5.7,77.4,45.41
158,18003,13.5,54473,3.2,58.2,11.46
159,18005,10.1,63067,2.6,72.0,13.29
160,18011,5.4,85876,2.7,51.7,20.9
161,18019,11.2,56774,3.4,84.5,30.67
162,18035,22.5,43096,4,81.0,10.46
163,18039,11.5,59251,2.6,51.3,9.73
164,18041,14.5,47737,4.6,96.7,60.75
165,18043,9.5,64992,3.3,104.6,20.57
166,18047,8.6,62251,3.7,38.1,43.98
167,18053,19.9,45138,3.9,82.3,15.17
168,18057,4.2,101740,2.7,42.1,8.79
169,18059,5.6,73831,3,61.9,20.96
170,18067,12.3,55365,4.1,102.5,17.0
171,18071,12,55518,2.8,59.8,34.01
172,18081,7.7,69880,2.9,68.3,6.4
173,18089,15.7,55280,4.9,66.8,18.79
174,18091,15.7,52095,4.4,78.7,12.73
175,18095,17,49522,3.9,87.1,12.34
176,18097,17.2,48409,3.5,56.7,27.76
177,18105,21.4,48883,3.6,55.4,11.57
178,18109,10.6,66151,3.4,90.4,29.95
179,18127,8.9,69298,3.8,77.0,14.15
180,18141,13.5,54674,3.6,60.2,16.25
181,18157,18.1,52269,3.2,51.9,18.13
182,18163,15.1,50500,3.2,111.0,14.37
183,18177,16,45130,3.6,81.8,54.6
184,19113,9.4,64878,2.8,46.5,4.87
185,19153,9.9,68479,2.5,58.5,9.44
186,19163,12.4,59865,3,55.2,6.35
187,20091,5.5,87087,2.9,54.1,6.02
188,20155,12.3,49341,3.6,84.4,16.04
189,20173,13.4,56381,3.8,84.8,5.84
190,20177,13.9,53612,3.5,78.8,7.89
191,21015,6.4,77696,3.4,73.2,31.93
192,21019,18.3,48020,5.9,71.9,57.15
193,21029,9.5,61022,4.1,59.0,25.9
194,21037,13.1,60904,3.3,70.3,54.75
195,21043,31.1,32906,9.2,58.0,40.73
196,21049,16,50162,4.1,83.1,41.38
197,21067,14.6,55358,3.3,47.6,33.05
198,21071,34.2,33218,6.6,205.3,33.48
199,21073,12.9,53134,3.7,74.1,27.55
200,21081,13.9,53965,4.3,87.0,39.81
201,21089,16.6,49457,6.6,61.6,31.19
202,21111,15.4,55860,4.1,69.8,28.81
203,21113,12.6,59443,3.6,68.6,29.67
204,21117,10.4,64644,3.4,59.3,48.78
205,21151,16.5,51897,3.9,67.7,42.22
206,21173,15.3,46629,6,118.2,35.46
207,21195,23.8,37124,5.9,180.7,20.55
208,21199,19.5,41541,5.1,79.8,17.02
209,21209,8.3,73500,3.3,63.1,23.2
210,22005,10.8,77758,4.1,75.4,16.04
211,22033,16.7,52945,4.3,72.6,7.03
212,22051,15.6,50871,4.4,82.4,28.8
213,22063,11.3,63088,4.1,82.3,11.46
214,22071,23.8,38855,5,50.9,9.21
215,22079,19.4,48116,5.3,117.1,14.55
216,22103,11.8,67054,4.2,81.8,27.51
217,22117,24.6,36850,5.7,112.3,57.96
218,23001,12.3,49935,3.3,50.7,23.22
219,23005,8.2,71586,2.7,39.5,20.44
220,23011,11.2,52154,3.2,70.1,27.85
221,23017,16.7,44243,4,53.9,20.83
222,23019,14.7,47840,3.8,51.4,25.15
223,23025,16.1,43755,4.8,48.8,19.77
224,23029,18.3,39522,4.9,48.3,38.11
225,23031,9,65984,3,46.9,26.18
226,24003,7,97051,3.3,53.7,12.5
227,24005,9.9,75836,4,53.2,11.35
228,24009,5.4,106270,3.5,68.5,11.96
229,24013,6,95956,3.2,55.5,10.09
230,24015,8.3,72739,4.4,56.4,16.53
231,24021,6.2,95196,3.5,56.3,9.0
232,24025,7,87959,3.6,56.3,7.88
233,24027,5.2,116719,3,28.4,3.4
234,24031,6.9,107758,3.2,26.5,2.85
235,24033,8.3,82445,4.1,30.0,4.07
236,24043,11.1,62556,4.3,90.3,10.6
237,24510,18.9,50501,5.7,41.9,24.73
238,25001,8,69001,4.3,44.5,32.8
239,25003,11.3,58375,4,46.6,30.87
240,25005,10.8,66005,4.3,55.5,37.94
241,25009,10.7,76373,3.4,35.0,33.9
242,25011,10.6,58992,3,41.5,29.59
243,25013,16.7,52682,4.6,50.2,43.15
244,25015,11.1,74456,3,44.2,22.93
245,25017,7.3,100374,2.7,25.4,19.69
246,25021,6.5,100184,3,31.7,23.53
247,25023,6.2,89678,3.5,40.2,28.95
248,25025,17.5,68743,3,22.8,26.26
249,25027,9,71767,3.5,38.7,33.22
250,26021,15.3,51509,4.3,69.5,15.57
251,26025,17.3,48413,4.2,81.2,34.95
252,26045,9.3,66716,3.5,69.7,18.21
253,26049,18.8,48370,4.9,85.2,43.75
254,26065,18.1,52837,3.6,54.8,24.94
255,26077,14.4,55881,3.4,54.5,14.72
256,26081,11.3,61675,3,55.3,11.17
257,26091,10.4,55762,4.1,67.2,21.37
258,26093,5,84048,3.3,44.9,13.07
259,26099,11,62191,4,73.1,29.84
260,26115,10,62522,4.2,66.6,26.59
261,26117,14.3,50396,4.2,89.8,18.76
262,26121,15.7,49960,4.5,95.7,21.31
263,26125,8.2,80319,3.3,54.7,5.48
264,26139,6.8,70420,2.8,44.4,7.57
265,26147,13.8,56557,4.7,79.5,25.1
266,26155,10.8,54149,4.3,70.8,17.6
267,26159,15.3,57363,4.8,78.2,14.58
268,26161,15,72267,3,30.7,19.41
269,26163,21.7,46440,5.2,64.9,38.6
270,27003,5.6,82284,2.8,38.5,8.48
271,27037,6.3,86403,2.5,36.9,4.47
272,27053,10.3,76067,2.5,28.6,9.93
273,27123,14.6,62937,2.7,31.2,4.36
274,27137,14.7,53833,3.7,47.8,8.51
275,28033,9,68126,3.8,77.1,13.74
276,28047,20,45355,4.5,89.1,8.23
277,28049,19.4,44776,4.6,49.7,4.64
278,28121,9.6,66296,3.4,76.2,8.45
279,29019,16.8,55136,2.3,36.7,13.33
280,29021,15.6,52506,3,83.3,11.29
281,29047,7,68943,2.9,68.9,7.31
282,29071,9.2,58738,3.1,74.6,29.9
283,29077,15.5,44799,2.6,85.0,16.1
284,29095,13,55864,3.7,60.3,9.14
285,29099,8.7,65150,3.1,64.7,45.02
286,29113,10.6,62238,3.3,56.1,27.74
287,29169,15.2,52532,3.6,27.5,19.23
288,29183,5.7,82048,2.5,59.7,26.3
289,29189,10.5,66992,3,55.3,31.7
290,29219,10.5,62056,2.8,50.6,31.69
291,29510,22.8,43263,3.8,42.5,69.67
292,30063,12.7,56207,3.3,57.5,9.26
293,30111,10.9,59975,3.3,65.2,7.49
294,31055,11.6,64580,3.1,49.6,4.76
295,31109,12.4,58618,2.5,50.3,3.15
296,31153,5.7,79358,2.7,40.0,5.96
297,32003,14,57155,4.8,53.2,11.74
298,32019,10.5,59732,5.4,63.9,23.29
299,32031,10.4,63636,3.6,56.9,11.38
300,33001,6.9,64777,2.5,49.6,40.97
301,33005,10.2,60251,2.5,45.2,39.22
302,33009,9,65163,2.1,48.2,12.25
303,33011,7.4,78714,2.6,38.7,35.4
304,33013,7,74351,2.2,52.1,29.78
305,33015,5.3,93645,2.8,47.3,26.52
306,33017,9.7,69919,2.3,55.2,33.05
307,34001,12.8,60826,5.9,54.3,49.35
308,34003,6.8,100181,3.4,32.0,13.13
309,34005,6.2,84470,3.8,51.1,35.7
310,34007,12.9,67135,4.6,61.5,50.49
311,34009,10.3,62175,8.4,64.7,49.7
312,34011,15.2,51790,6.5,68.7,63.59
313,34013,14.9,62875,5.2,29.3,30.63
314,34015,7.6,81315,4.2,58.3,50.1
315,34017,14.3,73337,3.9,28.0,19.82
316,34019,4.4,112335,3.3,32.1,8.82
317,34021,10.9,79979,3.7,42.4,31.37
318,34023,8.2,87666,3.6,32.6,21.45
319,34025,6.7,99223,3.7,41.0,31.54
320,34027,4.7,112396,3.3,30.4,17.0
321,34029,9.7,68483,4.3,48.0,35.9
322,34031,13.6,71959,5.1,32.5,26.03
323,34033,11.2,64524,5.4,50.0,67.09
324,34035,4.9,119731,3.4,26.9,13.29
325,34037,5.2,92284,4,42.7,28.41
326,34039,7.8,80737,4.3,29.7,23.29
327,34041,6.7,77571,3.8,51.1,32.14
328,35001,16.5,51372,4.5,51.0,19.74
329,35013,24.9,38409,5.7,36.9,9.65
330,35015,15.7,58320,3.3,70.8,17.27
331,35039,22,41511,5.2,68.0,56.4
332,35043,12.6,57036,5,42.0,13.09
333,35049,12.2,60187,4.1,62.5,18.66
334,35061,17.3,46365,5.5,61.0,23.54
335,36001,11.3,64536,3.7,37.7,8.79
336,36005,27.3,38566,5.7,23.1,22.2
337,36007,17.3,50928,4.9,55.7,14.61
338,36011,13,52945,4.5,41.4,15.56
339,36013,18.3,45689,5,54.4,15.63
340,36025,15.9,47382,4.8,44.9,29.2
341,36027,9.2,79604,3.7,46.6,28.26
342,36029,13.7,56375,4.4,53.2,18.16
343,36037,9.9,58925,4.2,43.6,29.56
344,36045,12.3,52798,5.6,50.9,8.95
345,36047,18.9,60862,4.2,18.2,8.4
346,36051,12.5,61027,4.3,41.0,23.72
347,36053,10.8,59114,4.8,48.8,15.54
348,36055,14.4,60240,4.3,37.8,25.05
349,36059,5.8,115301,3.5,32.3,11.63
350,36061,15.6,84610,3.7,29.8,12.89
351,36063,13,55013,5.2,58.1,19.48
352,36065,14.8,54096,4.4,47.8,16.12
353,36067,13.7,59786,4,46.9,17.11
354,36069,8.5,62930,3.9,40.3,12.74
355,36071,11.5,75048,3.9,44.7,27.23
356,36075,16.1,53745,5.5,48.7,12.72
357,36079,6,100887,3.7,34.4,20.22
358,36081,11.6,68432,3.6,18.6,8.03
359,36085,11.7,79719,4.1,35.8,22.89
360,36087,13.9,88960,3.7,28.1,8.6
361,36103,7.3,100075,3.9,41.9,23.09
362,36105,16.2,51985,4.1,59.0,45.03
363,36109,16.8,57383,3.6,43.3,9.73
364,36111,14.3,63073,3.9,53.2,33.59
365,36117,9.6,61118,4.2,42.4,17.77
366,36119,8.3,94521,3.9,28.3,14.06
367,37001,13.5,50480,3.7,63.6,16.82
368,37013,18.1,46411,4.6,110.9,23.36
369,37019,10.5,60163,5.2,81.2,18.28
370,37021,11.5,53960,3,58.7,27.4
371,37023,14,44946,3.6,101.2,14.38
372,37025,9,69297,3.6,69.4,21.77
373,37027,15.9,43328,3.8,106.5,17.07
374,37031,9.8,55052,4.3,75.4,25.89
375,37035,13,53738,3.5,98.2,11.35
376,37049,14.9,50748,4.2,84.6,28.18
377,37051,17,46779,5.1,67.9,21.67
378,37055,8.3,64768,5.1,87.4,41.09
379,37057,15,47758,3.7,60.0,21.61
380,37063,13.5,59329,3.5,34.4,11.05
381,37065,22.9,38818,6.8,61.2,19.23
382,37067,16.4,50112,3.8,55.9,24.27
383,37069,12.7,57710,4,41.4,29.6
384,37071,14.2,52798,3.9,88.3,16.6
385,37081,15.4,52166,4.1,56.1,17.61
386,37083,22,36760,6.1,92.1,23.73
387,37085,14.4,51225,4.6,59.1,17.14
388,37087,13.1,47183,3.4,80.1,20.98
389,37089,9.7,54012,3.2,61.1,12.85
390,37097,9.5,60044,3.6,77.8,14.57
391,37099,16.7,44502,4.1,68.1,25.39
392,37101,11.7,60296,3.6,49.0,9.87
393,37105,15.7,48984,4.3,96.7,16.27
394,37109,10.3,62963,3.4,84.0,16.71
395,37119,11.7,64509,3.7,39.9,15.36
396,37127,14.2,50122,5.1,72.4,23.4
397,37129,15.3,53419,3.7,69.1,29.28
398,37133,15.1,50531,4.7,56.5,19.73
399,37135,12.4,71920,3.3,32.2,14.38
400,37141,15.1,54900,4.1,40.1,19.3
401,37145,14.8,50149,4.1,77.6,25.31
402,37147,23.2,43303,4.2,62.1,17.23
403,37151,13.8,48372,3.7,53.7,29.3
404,37155,24.5,35407,5.9,103.1,14.41
405,37157,17.9,41869,4.5,107.8,27.57
406,37159,16.3,46864,3.9,63.4,25.48
407,37163,22.8,42807,4,65.4,17.29
408,37167,13.2,51491,3.6,86.9,33.83
409,37169,12.1,50826,3.6,70.5,26.39
410,37171,16,46342,3.5,122.2,27.8
411,37179,7,80428,3.4,51.7,13.14
412,37183,8.4,80169,3.4,41.1,9.34
413,37191,20.2,41572,4.3,59.0,16.23
414,37193,18.9,44080,3.7,67.8,21.88
415,37197,13,49070,3.4,46.9,31.96
416,38017,10.4,63885,2.3,20.8,6.06
417,39007,17.4,46950,5.3,49.5,13.33
418,39015,11.8,55334,5.4,67.5,55.04
419,39017,12.4,61053,4.1,54.9,39.23
420,39023,14.9,50089,4.6,76.3,47.55
421,39025,8.2,65280,4.1,62.6,33.1
422,39027,11.8,53947,5.3,75.1,26.15
423,39033,14,44715,5.2,67.1,26.47
424,39035,17.9,50006,5.2,39.1,31.6
425,39037,9.5,53853,3.9,39.1,27.28
426,39041,4.1,103536,3.4,41.6,13.67
427,39043,10.6,53135,5.6,60.2,28.14
428,39045,9.3,67654,4,54.6,13.48
429,39049,15.5,60383,3.8,50.1,32.89
430,39053,22.1,43785,6.1,54.2,46.7
431,39057,11.6,68380,4,51.3,26.19
432,39061,15.4,57300,4.1,52.6,39.43
433,39063,9.9,61579,3.4,46.6,27.66
434,39073,14.1,50568,5.1,67.3,35.23
435,39077,11.1,55202,5.9,68.9,27.35
436,39081,19,42821,6.3,80.1,22.81
437,39085,7.5,65883,4.7,51.5,27.33
438,39087,18.8,43031,5.6,62.8,45.1
439,39089,9.1,66145,4,47.9,10.24
440,39093,14.2,59265,5.4,50.1,28.76
441,39095,18.7,47865,5.3,73.6,32.1
442,39099,16.5,48010,5.9,67.9,37.01
443,39101,16.5,45419,4.4,83.0,32.18
444,39103,6.5,76475,4.3,42.4,18.98
445,39105,17.8,44286,7.3,41.9,56.26
446,39109,7.9,59922,3.9,47.7,23.54
447,39113,16.9,51071,4.5,63.2,46.96
448,39119,16.6,49586,5.3,71.1,25.53
449,39129,12.1,58742,4.3,51.5,24.1
450,39131,20.5,45163,6.5,75.1,46.32
451,39133,11.3,63689,4.6,43.1,16.57
452,39135,9.7,53904,4.1,48.4,24.39
453,39139,14.4,49668,4.9,51.6,36.33
454,39141,18.4,49385,4.6,65.6,40.3
455,39143,10,53978,4.5,56.4,23.81
456,39145,22.6,41267,6.8,78.8,51.65
457,39151,14.4,52310,4.9,65.4,15.88
458,39153,12,58890,4.7,51.8,18.82
459,39155,17.6,47424,6.2,72.3,36.75
460,39157,12.3,51030,4.6,53.1,11.93
461,39165,5.2,87391,3.9,47.3,16.8
462,39167,15.9,50904,5.6,88.6,19.95
463,39169,9.4,59142,3.6,40.7,12.07
464,40017,7.3,70942,2.8,74.1,8.31
465,40027,11.9,62343,2.9,69.0,6.04
466,40109,16.9,52346,3.3,84.6,6.81
467,40143,14.1,55796,3.3,98.1,9.41
468,41005,7.3,81061,3.8,56.8,4.33
469,41029,14.8,55511,4.8,85.7,13.21
470,41039,18.1,53161,4.5,74.7,9.22
471,41047,14.5,56408,4.3,49.1,3.17
472,41051,12,70756,3.7,36.5,14.66
473,41067,8.8,82819,3.5,38.5,4.85
474,42003,11.7,59881,4,50.2,31.84
475,42007,11.2,54823,4.5,55.3,13.96
476,42011,11.4,62519,4.2,42.7,18.09
477,42017,5.7,88538,3.7,51.9,18.31
478,42019,8.7,67161,3.9,51.5,19.69
479,42021,14.7,45163,5.2,74.2,16.7
480,42029,6.7,99224,3.2,38.8,20.88
481,42033,15.4,46706,5,53.2,18.89
482,42037,12.3,50774,4.8,62.2,16.81
483,42039,13.4,50805,4.7,58.1,22.34
484,42041,7.3,71695,3.3,48.1,11.14
485,42043,13.2,57979,4,44.1,19.85
486,42045,8.8,71961,4,47.9,24.44
487,42049,15.3,48453,4.7,58.3,20.58
488,42055,11,60744,3.7,48.5,10.98
489,42063,15.5,47999,4.9,47.2,17.75
490,42069,14.2,52872,4.6,83.7,38.9
491,42071,7.9,66270,3.4,40.3,10.3
492,42073,15.8,48418,5.1,65.1,39.45
493,42077,12,62139,4.6,35.0,10.32
494,42079,14.3,53469,5.4,61.5,20.15
495,42085,15.3,48788,4.7,77.6,22.59
496,42089,12.3,63318,5.4,56.7,9.44
497,42091,5.9,90155,3.4,43.7,19.91
498,42095,10.2,68217,4.4,49.3,20.01
499,42097,13.3,47243,5.2,67.3,16.47
500,42101,24.3,46149,5.5,44.2,46.78
501,42103,10.3,62657,5.4,38.8,26.82
502,42107,13,48809,5.2,59.8,12.67
503,42125,9,63119,4.3,52.7,33.28
504,42127,13,53602,4.7,52.2,27.3
505,42129,9.2,58398,4.4,55.8,4.85
506,42131,11.8,57599,4.5,50.2,36.97
507,42133,8.8,65238,3.9,43.9,13.83
508,44003,7.8,69089,3.7,54.4,32.95
509,44005,8.1,77760,3.5,43.4,16.96
510,44007,16.1,56141,4.4,40.0,27.2
511,44009,8,86715,3.6,46.9,12.68
512,45003,15,52633,3.3,67.0,18.3
513,45007,14.6,51740,3.3,76.8,10.47
514,45013,10.9,65843,3.2,54.0,9.54
515,45015,12.8,62204,3,46.7,17.19
516,45019,14.2,62958,2.8,56.3,18.72
517,45035,11,65468,3,77.5,20.54
518,45041,18,47949,3.7,107.4,16.65
519,45043,19.6,46058,4.5,66.4,24.1
520,45045,11.1,61162,2.9,69.3,22.36
521,45047,18.3,43879,3.6,89.7,24.03
522,45051,14.3,49082,4.2,83.3,22.66
523,45055,14.5,52270,3.5,67.5,18.29
524,45057,13.3,58035,3.8,63.7,14.68
525,45059,19.7,42099,3.6,69.2,22.39
526,45063,12.5,60627,2.9,72.4,14.91
527,45073,14.4,50529,3.3,94.0,19.14
528,45077,16.6,48794,3.4,84.4,21.61
529,45079,16.7,52611,3.4,50.8,11.82
530,45083,13.6,53567,3.1,82.4,18.48
531,45085,18.7,45181,4,61.1,18.78
532,45091,9.8,64904,3.3,52.0,18.61
533,46099,9.6,60033,2.6,50.1,7.26
534,47001,16.5,50672,3.8,109.5,23.53
535,47009,9.9,57939,3.2,69.1,22.84
536,47011,14.7,50427,3.6,102.0,15.93
537,47019,19.1,39202,4.1,88.7,21.3
538,47021,10.3,63241,2.7,82.9,51.93
539,47031,15.9,49494,3.4,138.3,23.34
540,47037,15.4,60799,2.6,60.6,28.59
541,47043,13.8,56166,3,97.7,18.71
542,47059,15.1,44366,4.6,96.3,23.16
543,47065,13,57196,3.4,94.5,11.25
544,47073,18.4,42188,4,70.6,17.69
545,47093,13.2,55874,2.9,73.1,46.42
546,47119,10.8,57337,3.2,97.5,19.08
547,47125,12,56102,3.8,68.5,19.42
548,47145,14.8,54440,4.1,106.5,47.05
549,47147,10.6,66006,3.1,103.8,14.08
550,47149,10.4,64170,2.7,70.8,20.93
551,47155,13.9,47202,3.5,85.8,37.8
552,47157,21.7,47924,4.2,54.7,12.61
553,47163,16.5,46024,3.7,125.1,26.64
554,47165,8.9,66171,2.8,70.2,18.17
555,47167,12,60874,4.2,86.7,16.24
556,47187,3.8,115930,2.5,44.4,13.38
557,47189,7.8,76507,2.8,69.3,13.51
558,48027,13,54292,4.1,42.6,4.78
559,48029,17.2,54210,3.3,44.1,5.14
560,48039,10.1,74225,4.5,52.9,5.67
561,48085,6.4,96936,3.3,45.4,3.58
562,48113,14.2,59838,3.7,40.3,5.84
563,48121,7.3,88384,3.2,47.9,3.03
564,48135,12.9,60431,2.7,61.6,6.78
565,48141,20.5,43948,4.2,30.6,5.59
566,48157,7.9,92310,4,32.1,3.05
567,48167,12.1,71959,4.6,64.6,8.88
568,48201,16.5,60241,4.4,37.9,6.21
569,48215,30,38785,6.6,22.7,1.27
570,48245,18.7,48121,6.3,71.0,4.71
571,48303,17.6,50377,3.1,70.1,6.51
572,48309,18.9,48858,3.6,63.2,3.93
573,48339,9.3,77598,3.8,50.6,7.45
574,48355,16.2,53034,4.7,64.0,7.18
575,48439,12.1,66059,3.5,53.7,4.22
576,48453,12,76255,2.8,39.5,7.93
577,48479,25.7,44919,3.8,21.3,5.07
578,48491,6.4,87817,3.1,50.5,3.53
579,49005,12.9,60315,2.7,44.6,8.66
580,49011,5.7,84381,2.9,57.0,9.67
581,49035,9,73619,3,55.6,14.32
582,49045,6.8,73584,3.5,52.8,18.6
583,49049,9.4,75296,2.8,47.4,11.73
584,49053,9.7,57069,3.4,72.8,12.81
585,49057,9.4,68106,3.5,69.8,14.82
586,50003,11.4,52510,3.1,52.4,36.49
587,50007,10.4,74240,2.1,35.2,6.68
588,50011,11.1,61129,2.5,68.8,22.26
589,50021,10.4,51723,3.1,52.2,30.68
